CAGR,AnnVol,Sharpe,MaxDD
-0.067085,0.129266,-0.472221,-0.761425
-0.033660,0.126445,-0.207326,-0.746635
0.031921,0.131516,0.304868,-0.401586
-0.085786,0.127384,-0.640017,-0.761760
-0.139284,0.124794,-1.138965,-0.912792
0.022193,0.129454,0.234537,-0.273300
-0.083921,0.126927,-0.626775,-0.781710
-0.027107,0.131273,-0.143487,-0.560680
0.009518,0.126905,0.138268,-0.444533
-0.080721,0.127399,-0.596617,-0.840377
-0.093321,0.129334,-0.692372,-0.855418
-0.089387,0.125066,-0.685867,-0.846450
0.011715,0.126161,0.155574,-0.622305
-0.000945,0.128579,0.057140,-0.431833
